,Plant State,AER Fuel Code,m,b,Rsq,Std Error
26,TX,OOG,-0.0003435498264210123,0.6979857258027305,0.6964819575504599,7.171781580860525e-05
27,TX,ORW,2.2380341077008545e-05,-0.04479219376336186,0.721457695149549,4.397510127968875e-06
28,TX,OTH,-0.00012293673753032905,0.24838733268457658,0.4222702003809878,4.547250204806137e-05
29,TX,PC,-0.0002740573157247945,0.5529653219175379,0.5895431106045057,7.231316833736951e-05
30,TX,RFO,-2.9926103536329115e-05,0.060194626518177724,0.6974522331309078,7.449736218006757e-06
31,TX,SUN,6.6807318521092e-05,-0.13406749190453018,0.6731436375990472,1.4721383942823091e-05
32,TX,WND,0.008985798615125974,-18.004382571502976,0.9845134888198518,0.000356387645978542
33,TX,WOC,0.0,0.0,0.0,0.0
34,TX,WOO,-7.041902426308025e-07,0.0014207752897982629,0.6347529771139221,1.6891996090460373e-07
35,TX,WWW,-1.7688786969697132e-05,0.03769062096511393,0.047008847276561544,2.5185622244440646e-05
36,MN,COL,-0.01997228060497392,40.676233578885636,0.8987921880872685,0.0021193614593912518
37,MN,DFO,-0.00015387619793455975,0.31043093690014634,0.3658520183639087,6.406399632559977e-05
38,MN,GEO,0.0,0.0,0.0,0.0
39,MN,HPS,0.0,0.0,0.0,0.0
40,MN,HYC,-0.00015203797933838106,0.31843799571801396,0.06101019346854335,0.00018861721442504077
41,MN,MLG,2.3521387325799445e-05,-0.03997477171369159,0.021507407204518842,5.017041296062489e-05
