,State,Sector,m,b,Rsq,Std Error
303,Montana , industrial,-0.05294810595687697,112.1681132805674,0.06706684307486384,0.05477092622780967
304,Montana , transportation,,,,
305,Montana , other,,,,
306,Nevada , all sectors,-0.09345782957448531,198.1216864716415,0.30275488349409596,0.03933608890011756
307,Nevada , residential,0.07626311661648721,-140.42745208830323,0.18794537768253977,0.04396627480683624
308,Nevada , commercial,-0.17231442296955168,356.7413022337191,0.5966371049547878,0.03929549801760783
309,Nevada , industrial,-0.1990760371181169,408.0715977804829,0.6744690575133756,0.03835857220558783
310,Nevada , transportation,,,,
311,Nevada , other,,,,
312,New Mexico , all sectors,0.06167100494139805,-114.69183677964341,0.4786221278785522,0.01785209791778017
313,New Mexico , residential,0.1156152382758292,-220.76164549295405,0.6357043061918151,0.0242740836713485
314,New Mexico , commercial,0.07041970049733182,-131.83513761897197,0.42611066892488236,0.022666025285715374
315,New Mexico , industrial,-0.00018413324846056065,6.884998336271591,4.875895325306647e-06,0.02312769190257013
316,New Mexico , transportation,,,,
317,New Mexico , other,,,,
318,Utah , all sectors,0.13357748693817004,-260.69411355392856,0.9121123372392105,0.011500093862703212
319,Utah , residential,0.16692670011691788,-325.6383221248056,0.8751097460266488,0.017489892739558952
320,Utah , commercial,0.1214257565118892,-236.07360650506956,0.8635208728759984,0.013388620757128851
321,Utah , industrial,0.1104987071326767,-216.52997911598652,0.9159771197045088,0.009282009108967424
322,Utah , transportation,,,,
323,Utah , other,,,,
324,Wyoming , all sectors,0.16242578442809855,-319.43540880445056,0.9034511325018237,0.01472667000803095
325,Wyoming , residential,0.15452008082603666,-300.7214586575056,0.8690037982629335,0.016639174059259187
326,Wyoming , commercial,0.15311881940482577,-299.5433233198577,0.8960999423647815,0.014460608396735138
